meannh,cum.prob
1657.04508151889,0.001
1869.79766169293,0.002
2009.29541776869,0.003
2113.50047921162,0.004
2165.82591709063,0.005
2219.01110601869,0.006
2288.16907912411,0.007
2317.07331877688,0.008
2367.52707676595,0.009
2377.96779940217,0.01
2431.71415720515,0.011
2434.38641976927,0.012
2484.61805641979,0.013
2489.75486171296,0.014
2531.53376332229,0.015
2559.04696928324,0.016
2563.70750379174,0.017
2607.23400998334,0.018
2622.18782168321,0.019
2644.38298325334,0.02
2668.45042532948,0.021
2675.57168577825,0.022
2689.54947877957,0.023
2720.88387102109,0.024
2735.83506057142,0.025
2752.72916562666,0.026
2772.2023354645,0.027
2790.00621066567,0.028
2798.52882022989,0.029
2819.96427322066,0.03
2827.5380024269,0.031
2849.64615863809,0.032
2859.43119199313,0.033
2879.78698221106,0.034
2890.18828278607,0.035
2903.71514547611,0.036
2918.05062462329,0.037
2936.81593435124,0.038
2956.53768337447,0.039
2963.66068348383,0.04
2981.06272093094,0.041
2987.0237998773,0.042
3005.82079739255,0.043
3017.42046542545,0.044
3026.5754177579,0.045
3044.57647066987,0.046
3051.62552620959,0.047
3070.61384838891,0.048
3072.60978787668,0.049
3085.59625428955,0.05
3096.79248982172,0.051
3114.80801382249,0.052
3121.3559963696,0.053
3138.57454826517,0.054
3143.38479974579,0.055
3156.36197880392,0.056
3170.59194933589,0.057
3181.44275490468,0.058
3189.90911693179,0.059
3199.93348890823,0.06
3212.12270222309,0.061
3222.87644536322,0.062
3236.37068293236,0.063
3248.26204886658,0.064
3252.73308525452,0.065
3268.82507838672,0.066
3276.34964685457,0.067
3287.64582883676,0.068
3293.42432484471,0.069
3305.10275951951,0.07
3311.05780826781,0.071
3321.1851935407,0.072
3332.76420939885,0.073
3340.80534746615,0.074
3350.62804955456,0.075
3363.81902858879,0.076
3370.65127363509,0.077
3386.96133390446,0.078
3391.65602843596,0.079
3397.70277250844,0.08
3413.02466880543,0.081
3418.90192275995,0.082
3425.47690733257,0.083
3437.10659750256,0.084
3448.65243476371,0.085
3459.60741292053,0.086
3462.81097308157,0.087
3478.210384288,0.088
3480.19655786709,0.089
3490.03200352697,0.09
3497.885878977,0.091
3513.45323757825,0.092
3521.26303805713,0.093
3525.2593878316,0.094
3538.77897308894,0.095
3543.41876667872,0.096
3557.59411883179,0.097
3560.75460435406,0.098
3574.0864830696,0.099
3577.78851086387,0.1
3584.62573485029,0.101
3593.30792230672,0.102
3604.40341036108,0.103
3609.04189552489,0.104
3621.2270412344,0.105
3633.11644765631,0.106
3639.04916907422,0.107
3648.9737198425,0.108
3650.01584429171,0.109
3665.79405546075,0.11
3667.35865811405,0.111
3678.42483810266,0.112
3686.66620641085,0.113
3697.1821964298,0.114
3705.63560077874,0.115
3710.8744473676,0.116
3716.75255604204,0.117
3727.55694081069,0.118
3737.25457112415,0.119
3738.31049957955,0.12
3748.94839434471,0.121
3754.84130436718,0.122
3769.03557817397,0.123
3774.98501891089,0.124
3783.61234663453,0.125
3791.50313371991,0.126
3796.77132958457,0.127
3801.92310601695,0.128
3811.74805278495,0.129
3817.72544407996,0.13
3825.85267887212,0.131
3833.2917119884,0.132
3842.41560941767,0.133
3848.50197597334,0.134
3857.23721700338,0.135
3862.11573667892,0.136
3875.99369902211,0.137
3878.53090682036,0.138
3889.37307829386,0.139
3892.9915801923,0.14
3905.90142488867,0.141
3908.56289982892,0.142
3916.11119865072,0.143
3926.1338431066,0.144
3931.31009032746,0.145
3936.39383299351,0.146
3948.13932137609,0.147
3951.62315102102,0.148
3959.09083206718,0.149
3972.17443571342,0.15
3979.29402318865,0.151
3983.74754090623,0.152
3994.10726505065,0.153
3997.73884612713,0.154
4004.60200751475,0.155
4012.97178854324,0.156
4020.95426402652,0.157
4026.13674794883,0.158
4031.2103542403,0.159
4041.20387283224,0.16
4045.37956423969,0.161
4057.39784496266,0.162
4064.34810125323,0.163
4069.92538368487,0.164
4080.67377433437,0.165
4086.13473523822,0.166
4092.01439879931,0.167
4100.6857171054,0.168
4108.64594137002,0.169
4109.63585872878,0.17
4123.19430812923,0.171
4126.04890316897,0.172
4135.62263572662,0.173
4141.91704143972,0.174
4148.38321804363,0.175
4158.09749341667,0.176
4160.69472969665,0.177
4172.33313717869,0.178
4172.87700282531,0.179
4181.89429199822,0.18
4193.01901731599,0.181
4197.32947214554,0.182
4201.70449005595,0.183
4208.79767468135,0.184
4214.73353058431,0.185
4223.08458226386,0.186
4230.07013898427,0.187
4240.08450812283,0.188
4243.73514052347,0.189
4254.0870712371,0.19
4258.55214081504,0.191
4264.8691048615,0.192
4272.15286496888,0.193
4281.98634296609,0.194
4285.36598235618,0.195
4291.27576543968,0.196
4302.42439808285,0.197
4309.50207133166,0.198
4316.15869101679,0.199
4323.44339552231,0.2
4330.09536723386,0.201
4337.19218868705,0.202
4339.65018190734,0.203
4348.00012856875,0.204
4356.05393304021,0.205
4361.41884533,0.206
4371.05474732902,0.207
4372.72413124541,0.208
4382.09494812326,0.209
4387.78823032608,0.21
4399.45223950095,0.211
4402.49732751827,0.212
4408.25750171575,0.213
4419.60751143498,0.214
4419.92803751021,0.215
4430.01910447601,0.216
4433.98778493198,0.217
4441.446021821,0.218
4451.16747802839,0.219
4458.39066781258,0.22
4462.0196893763,0.221
4470.27070921646,0.222
4478.88242529471,0.223
4480.76443257038,0.224
4493.39551706252,0.225
4500.12339726603,0.226
4506.93883817593,0.227
4508.70569887261,0.228
4515.23453620692,0.229
4524.63909709466,0.23
4528.4820633272,0.231
4534.82940532447,0.232
4546.86934940037,0.233
4552.30107891507,0.234
4555.62746547936,0.235
4564.46966295075,0.236
4571.87230309489,0.237
4576.77103368583,0.238
4586.70073521397,0.239
4590.96130501587,0.24
4594.66615571797,0.241
4605.05270281953,0.242
4611.18426515152,0.243
4614.89424081006,0.244
4621.54235608056,0.245
4630.38799493353,0.246
4636.5174406209,0.247
4642.36965295769,0.248
4654.46074187972,0.249
4656.5474363638,0.25
4666.83368684524,0.251
4673.67202579491,0.252
4678.45260533583,0.253
4682.88745674634,0.254
4693.05958598832,0.255
4696.44305780218,0.256
4703.23721703003,0.257
4713.02280639281,0.258
4715.37568832863,0.259
4724.47842075238,0.26
4732.25671482402,0.261
4738.4501323792,0.262
4746.59993097096,0.263
4754.31217780389,0.264
4760.50385961245,0.265
4763.19955096199,0.266
4772.56338450087,0.267
4774.54199556153,0.268
4783.5873249347,0.269
4789.62614588648,0.27
4795.9630251591,0.271
4803.59149295791,0.272
4812.23377902895,0.273
4815.04220459079,0.274
4822.34455022482,0.275
4829.95857448087,0.276
4835.54047297057,0.277
4843.52087466372,0.278
4849.53258589372,0.279
4856.62642217645,0.28
4866.43436786689,0.281
4869.24255076526,0.282
4878.61729168323,0.283
4881.33513670785,0.284
4889.278839671,0.285
4897.35697005686,0.286
4901.63746356545,0.287
4910.73653273128,0.288
4918.06217603597,0.289
4926.42717041259,0.29
4929.22138983123,0.291
4939.43348741568,0.292
4942.40746524671,0.293
4950.95564231104,0.294
4956.63566435704,0.295
4966.72872731604,0.296
4971.4729578086,0.297
4977.44637022942,0.298
4986.71681245926,0.299
4993.23719553147,0.3
4999.06144226096,0.301
5003.84665875389,0.302
5011.17616199553,0.303
5019.85461403248,0.304
5022.9892636908,0.305
5032.51498132428,0.306
5040.95580280122,0.307
5047.56909492961,0.308
5052.69608680859,0.309
5057.31591066984,0.31
5062.06341269642,0.311
5072.41527818774,0.312
5079.97668724381,0.313
5087.58925556497,0.314
5091.35537670417,0.315
5099.22300152735,0.316
5105.60296436572,0.317
5113.71920484201,0.318
5118.17126613278,0.319
5125.56189165378,0.32
5130.48615862574,0.321
5137.08347156854,0.322
5144.34087632655,0.323
5154.64069153724,0.324
5155.45907703282,0.325
5168.58585116036,0.326
5170.09562112144,0.327
5176.24852644871,0.328
5187.82035075193,0.329
5191.37705718037,0.33
5196.85340639384,0.331
5207.66051706391,0.332
5209.62555437797,0.333
5219.7054502839,0.334
5224.25383493336,0.335
5229.95069562802,0.336
5240.36282135448,0.337
5244.51389627647,0.338
5256.16730458576,0.339
5261.9902546092,0.34
5268.3116691176,0.341
5273.50541859494,0.342
5282.27723030512,0.343
5287.18909100543,0.344
5295.82941856919,0.345
5304.25164837065,0.346
5307.52334023377,0.347
5317.1609350721,0.348
5321.37612304195,0.349
5325.68338550396,0.35
5338.80213182738,0.351
5342.94892704523,0.352
5347.63412527349,0.353
5356.97584163773,0.354
5363.23726924533,0.355
5368.84040848894,0.356
5379.9120976138,0.357
5383.81175368876,0.358
5393.98092824969,0.359
5395.82181443467,0.36
5402.78309533426,0.361
5410.85424171157,0.362
5417.64777134733,0.363
5426.67511285041,0.364
5433.51127433199,0.365
5436.23657989861,0.366
5445.77975728618,0.367
5455.64423056774,0.368
5456.60809830337,0.369
5465.78267170234,0.37
5472.94430300449,0.371
5480.84318575996,0.372
5485.47192769626,0.373
5495.2207895697,0.374
5504.33072814708,0.375
5505.68813312753,0.376
5517.95504922078,0.377
5520.03042385552,0.378
5526.42721027567,0.379
5537.43878837406,0.38
5541.17946169413,0.381
5550.14034914987,0.382
5559.70035934923,0.383
5568.31256716839,0.384
5572.69652289164,0.385
5577.68957764212,0.386
5583.05844142719,0.387
5591.14101769709,0.388
5598.19986347789,0.389
5608.78616159324,0.39
5611.67797397164,0.391
5624.84833284813,0.392
5625.47852015935,0.393
5634.29542678538,0.394
5646.0058506064,0.395
5652.83832618278,0.396
5653.79514610318,0.397
5665.84572254223,0.398
5671.96802106292,0.399
5681.47722611235,0.4
5682.53318798345,0.401
5693.15232589298,0.402
5698.86844375606,0.403
5710.54712986645,0.404
5711.34492346546,0.405
5719.07781382186,0.406
5730.89312820983,0.407
5734.63020517269,0.408
5743.6687856888,0.409
5750.0691064226,0.41
5758.8234947539,0.411
5762.87686342217,0.412
5769.94076775846,0.413
5778.92322647682,0.414
5787.27357606222,0.415
5795.2059353629,0.416
5797.60318771727,0.417
5809.00709003155,0.418
5816.09662646127,0.419
5826.59841543988,0.42
5827.60072626272,0.421
5840.28748871021,0.422
5843.57048208398,0.423
5855.98717994532,0.424
5857.85444688332,0.425
5868.27244817895,0.426
5873.35351584852,0.427
5880.46478714822,0.428
5892.10068360698,0.429
5893.74516236523,0.43
5902.81328350932,0.431
5913.51578459055,0.432
5916.83762035888,0.433
5926.86440265454,0.434
5932.05219568902,0.435
5941.00156668084,0.436
5947.27264096902,0.437
5959.89528366559,0.438
5966.26790388219,0.439
5972.02848274958,0.44
5980.96284262314,0.441
5988.68871865923,0.442
5993.86143188802,0.443
5998.82518913695,0.444
6011.27153800291,0.445
6015.86525252418,0.446
6026.74297807586,0.447
6029.40677592491,0.448
6039.58954760238,0.449
6048.16554465016,0.45
6056.39891887353,0.451
6065.04609725509,0.452
