meannh,cum.prob
1372.74076930163,0.001
1592.33273181541,0.002
1648.12206485256,0.003
1698.85342727503,0.004
1742.93631720955,0.005
1777.20145494647,0.006
1798.50721673422,0.007
1837.01743550726,0.008
1876.30750157304,0.009
1892.0710078504,0.01
1911.40381051776,0.011
1929.0861190528,0.012
1948.90194483501,0.013
1981.80548883386,0.014
1990.54476160487,0.015
2003.09518180096,0.016
2026.49363064944,0.017
2050.46163637932,0.018
2054.66283698515,0.019
2077.4876609584,0.02
2080.6887592583,0.021
2100.90751045097,0.022
2114.89690410659,0.023
2132.22419334584,0.024
2144.11807378825,0.025
2147.52858984182,0.026
2164.80430961446,0.027
2179.25474566373,0.028
2182.73016997291,0.029
2195.77673731031,0.03
2207.51930251932,0.031
2220.75158602674,0.032
2230.56469197524,0.033
2240.06890878191,0.034
2251.82253024783,0.035
2257.21633519883,0.036
2271.68469335285,0.037
2274.266612961,0.038
2282.14326737293,0.039
2299.99878480032,0.04
2306.79427009549,0.041
2315.23261502399,0.042
2326.22512137426,0.043
2333.54121722491,0.044
2343.28567356398,0.045
2346.75165407938,0.046
2357.5169227331,0.047
2368.74787235627,0.048
2375.71734941122,0.049
2381.83379151891,0.05
2388.94223786341,0.051
2393.80020602521,0.052
2405.48365819569,0.053
2411.89100269583,0.054
2422.00394575919,0.055
2428.10831355569,0.056
2437.14456003027,0.057
2441.71855840235,0.058
2451.31408050909,0.059
2455.07254218588,0.06
2464.68542063881,0.061
2468.646321825,0.062
2479.52517118663,0.063
2488.30273644125,0.064
2490.94339814247,0.065
2497.17127071431,0.066
2503.60490710856,0.067
2512.65119910368,0.068
2518.0449413774,0.069
2522.95918148987,0.07
2533.11245430733,0.071
2539.28072145928,0.072
2545.63052033665,0.073
2554.22207142453,0.074
2559.69386456118,0.075
2567.3494960976,0.076
2570.82276845004,0.077
2575.18194475788,0.078
2582.16890401332,0.079
2590.75442989318,0.08
2596.63078030748,0.081
2599.87280280451,0.082
2607.95188899949,0.083
2611.55689880543,0.084
2618.80021743162,0.085
2628.53062345779,0.086
2631.03875192109,0.087
2638.09731106282,0.088
2641.27002160144,0.089
2647.63109404902,0.09
2656.1937892978,0.091
2661.51006628851,0.092
2669.13429147813,0.093
2672.62998708175,0.094
2680.05385270205,0.095
2684.70169778863,0.096
2688.98877911425,0.097
2694.71488525792,0.098
2703.93295994574,0.099
2705.94111645165,0.1
2714.86842218987,0.101
2717.77967712511,0.102
2724.92276710632,0.103
2731.372776602,0.104
2736.32549914755,0.105
2740.65597530801,0.106
2743.85906369074,0.107
2748.41176737301,0.108
2754.29124270405,0.109
2760.07448387645,0.11
2764.73669488268,0.111
2770.24024412831,0.112
2777.74807377162,0.113
2784.45563031473,0.114
2787.24674269034,0.115
2791.43091823859,0.116
2796.76544543555,0.117
2804.12266873674,0.118
2811.30931502528,0.119
2816.2461177237,0.12
2821.34287300857,0.121
2822.30348838537,0.122
2827.4591266238,0.123
2834.49264002004,0.124
2837.3111385416,0.125
2845.90204630668,0.126
2850.89999363579,0.127
2852.51147900304,0.128
2858.44419970789,0.129
2863.49389672339,0.13
2870.21522434515,0.131
2873.78510143117,0.132
2880.36445251626,0.133
2886.77846151871,0.134
2891.4549721958,0.135
2892.88105763887,0.136
2899.02603325464,0.137
2905.6778745418,0.138
2910.41754169983,0.139
2913.26051698885,0.14
2918.76878133139,0.141
2923.29249201158,0.142
2929.78623993013,0.143
2932.23739606617,0.144
2936.79406532764,0.145
2940.62912073772,0.146
2945.49822331014,0.147
2951.77459206833,0.148
2957.93125135679,0.149
2959.63066047095,0.15
2966.95644162079,0.151
2970.78019001543,0.152
2977.89365869082,0.153
2980.12786977713,0.154
2983.56209307057,0.155
2989.36717820638,0.156
2995.61953493684,0.157
2998.60715102272,0.158
3005.96559253295,0.159
3006.94014026297,0.16
3012.72045109795,0.161
3015.53012509273,0.162
3021.31449895518,0.163
3025.12738241302,0.164
3032.87708695595,0.165
3037.81480508455,0.166
3039.84663924919,0.167
3046.0200978252,0.168
3051.08872921709,0.169
3055.24211537723,0.17
3061.11912355449,0.171
3063.48836969676,0.172
3066.40851723861,0.173
3073.64604722235,0.174
3077.23489855357,0.175
3080.19754628389,0.176
3085.47886758022,0.177
3090.28669884608,0.178
3096.42499708679,0.179
3098.29591795809,0.18
3103.06968559466,0.181
3110.63985403801,0.182
3113.00189819379,0.183
3116.34032249413,0.184
3123.03212044686,0.185
3128.3823887873,0.186
3128.89456550974,0.187
3135.61036223669,0.188
3138.00053875718,0.189
3142.07183181749,0.19
3147.910200882,0.191
3150.76277824809,0.192
3155.22262238726,0.193
3162.61240057874,0.194
3167.79639285523,0.195
3169.48258734749,0.196
3175.22414422273,0.197
3177.17589583542,0.198
3183.82149013887,0.199
3187.55599617745,0.2
3194.05433082273,0.201
3198.04509791705,0.202
3201.96019940141,0.203
3205.55607297398,0.204
3208.68411522335,0.205
3214.01095158897,0.206
3217.69953352265,0.207
3222.63968338357,0.208
3227.2367625487,0.209
3231.65775873916,0.21
3233.77403396576,0.211
3240.72606631018,0.212
3242.54600890235,0.213
3249.12464202029,0.214
3250.34565250432,0.215
3258.48157664159,0.216
3262.96922412562,0.217
3266.80181158807,0.218
3270.7342943566,0.219
3275.50383647282,0.22
3278.7341649125,0.221
3282.53957127816,0.222
3285.15725153205,0.223
3292.37871615323,0.224
3296.60127201699,0.225
3299.0976104647,0.226
3302.12810642483,0.227
3308.85277880811,0.228
3310.71358601545,0.229
3316.15918488832,0.23
3319.35316556698,0.231
3325.50632058944,0.232
3330.57635265411,0.233
3331.34956385051,0.234
3336.1598882412,0.235
3340.49547293879,0.236
3346.13427704442,0.237
3348.92058708671,0.238
3354.27627554835,0.239
3357.86106459889,0.24
3363.91219274885,0.241
3367.97046449669,0.242
3369.40086007285,0.243
3373.67112081745,0.244
3378.87324032835,0.245
3381.87431477564,0.246
3387.57236430394,0.247
3391.70903736339,0.248
3397.71850378862,0.249
3398.50007895873,0.25
3404.88436026669,0.251
3408.09245495686,0.252
3414.47668013523,0.253
3415.46502673615,0.254
3422.41799903629,0.255
3425.87670133574,0.256
3428.23524169347,0.257
3432.96167423578,0.258
3437.07307199675,0.259
3442.97773611034,0.26
3444.49865289187,0.261
3450.60569266511,0.262
3453.14797961006,0.263
3456.71540253379,0.264
3463.33699048741,0.265
3466.82802956376,0.266
3469.81026884725,0.267
3474.85671386273,0.268
3480.89898727605,0.269
3483.22950876514,0.27
3487.13044188065,0.271
3493.59524730784,0.272
3496.55358253819,0.273
3501.14913558142,0.274
3503.97192698958,0.275
3509.11293583207,0.276
3513.646244328,0.277
3514.96138194747,0.278
3521.86858935322,0.279
3523.14779534576,0.28
3527.72382471593,0.281
3533.43435214263,0.282
3536.13131785777,0.283
3543.46756702616,0.284
3545.97160210757,0.285
3548.64178082293,0.286
3553.5755106614,0.287
3556.23770642579,0.288
3562.22355673561,0.289
3568.32047693573,0.29
3570.94802066467,0.291
3575.492322148,0.292
3579.30518786458,0.293
3582.22932504431,0.294
3587.84613115926,0.295
3592.85512206396,0.296
3593.76044720422,0.297
3598.71573157327,0.298
3601.77341244037,0.299
3607.26841443347,0.3
3611.901754293,0.301
3615.58149532845,0.302
3621.97711760797,0.303
3622.59819059244,0.304
