a,Rstar,R0,psi,pi,mean_nz,meannh
2.29399061505832e-05,1.04181622669431,0.0418840062017476,73.4565327578314,9.60985544472242e-07,2897.03015170137,3058.97727084158
2.39588577604741e-05,1.17972501201019,0.0686748492700098,44.5900174156465,3.91905369738563e-06,4793.89755071522,5061.88160926417
1.93147467703382e-05,1.43309166513252,0.00961997331985259,45.3233339054339,5.89365224241873e-06,4715.46210559644,4979.06153792118
2.09538969276119e-05,1.41305152417353,0.0307678410618966,30.715802005227,6.31936939986957e-06,6995.45424955841,7386.50770895294
1.287798232958e-05,1.48411048763947,0.0210686668446651,87.9143846011128,4.29109470335607e-06,2417.866030213,2553.02735665967
2.01702978473492e-05,1.30425495027383,0.0358869502865746,34.6691057828398,4.88034298116439e-06,6185.96971652932,6531.77211492415
1.98546108596195e-05,1.12574111836887,0.00393392487168285,17.6673884644532,2.22640084349506e-06,12314.8467436652,13003.2599973618
1.69045898406599e-05,1.44386993565436,0.00438969919893904,27.0340366493542,5.21957964825106e-06,7966.33359975371,8411.66026500512
2.21118628366431e-05,1.31434602693655,0.00627289643714997,36.828357404324,5.32165575931525e-06,5818.24581742348,6143.49205209864
2.1377632370241e-05,1.51282529937193,0.0560142738761205,24.3480866371389,7.67652745721819e-06,8863.81142945568,9359.30807617141
1.48619445798649e-05,1.39865616353041,0.0290534292581173,12.868866077638,4.36275796932119e-06,17096.8949622138,18052.629883974
2.08274978323672e-05,1.28586000251791,0.0420863021709489,37.3514553581388,4.83349067714551e-06,5735.64694689472,6056.27581536177
1.26871638979772e-05,1.05596848108597,0.00694611135053868,71.7860687736041,6.7714042866352e-07,2964.91917285443,3130.66136171131
1.4669251593654e-05,1.48100390557153,0.0191765207732008,26.8562692009893,4.85738990923647e-06,8020.07768344942,8468.40870111333
2.12094327547755e-05,1.20076597621442,0.00329028949131701,49.9245201020417,3.55781086749343e-06,4276.44367298111,4515.50150004513
2.34730290225092e-05,1.5655547737252,0.00669190630839278,14.4537645710121,8.53652820324263e-06,15153.22210603,16000.3036126971
1.38485032377318e-05,1.96009923658948,0.00336735557600196,43.0787085916002,6.80612228403225e-06,4964.06979129393,5241.56666216318
1.90872316746656e-05,1.63656941405657,0.0322672366324775,21.3860935508571,7.67167437252882e-06,10121.2969614064,10687.0884095553
1.21146304249093e-05,1.72956211597677,0.216033340613405,28.7259479767693,6.51825273516828e-06,7488.71490698227,7907.34217067708
1.98679365866706e-05,1.30921578718385,0.120677309457475,45.185260298646,5.33635581778327e-06,4730.03369169558,4994.44769144507
1.54347628450161e-05,1.12310150137858,0.0276911125458227,37.1871972591755,1.73993542675856e-06,5761.33009807976,6083.39468247901
1.25330326049421e-05,1.08508406675657,0.0179502804758204,27.6643263621246,1.00069561390673e-06,7781.44972088486,8216.44117732227
1.24692181106173e-05,1.48738634554184,0.0271814854443518,41.7660329253987,4.20001986759329e-06,5121.99244638681,5408.31736449755
2.30801042856853e-05,1.14067380773472,0.00637511480752622,45.4781528321179,2.86455381038793e-06,4699.22971322829,4961.92173726141
1.83311200285368e-05,1.4261733467163,0.0461646978186178,53.2806968810358,5.74276587920089e-06,4004.49976958771,4228.3556382957
2.21929839851372e-05,1.29583438230625,0.00896689543205491,107.836064953514,5.11230717498926e-06,1969.1004598989,2079.17530554419
1.71094056157256e-05,1.62032092195404,0.015291747030521,40.5623165363743,6.65173812937031e-06,5275.90409222765,5570.83283782408
1.74312217171825e-05,1.31364506334263,0.0217226767102651,29.7233003439796,4.25420564356675e-06,7233.08425555879,7637.42148932841
1.9875831487474e-05,1.25116574738006,0.189286433889189,60.2453325521416,4.92144102807245e-06,3537.66380347931,3735.42303671463
